epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,1691.05,0.93341,0.64092,0.98097,0.80527,0.8758,0.83338,0.55252,1.11407,0.74155,1.01901,0.00055964,0.00055964,0.00055964
112,1706.34,0.8944,0.65556,0.98255,0.7838,0.90482,0.88539,0.57717,1.20571,0.73388,1.04038,0.000557736,0.000557736,0.000557736
113,1721.83,0.98774,0.71635,1.02068,0.83741,0.88331,0.92139,0.57383,1.12101,0.73499,1.00554,0.000555833,0.000555833,0.000555833
114,1737.18,0.99158,0.68425,1.00294,0.81095,0.88957,0.86543,0.55889,1.13368,0.77404,1.02825,0.00055393,0.00055393,0.00055393
115,1752.34,0.95188,0.66621,0.99226,0.78992,0.93101,0.89081,0.56202,1.15338,0.76641,1.01574,0.000552027,0.000552027,0.000552027
116,1767.61,0.94923,0.66398,1.01827,0.79874,0.90759,0.88719,0.53687,1.22068,0.79197,1.05076,0.000550123,0.000550123,0.000550123
117,1782.89,0.94271,0.64719,0.98887,0.80642,0.8649,0.85889,0.559,1.13926,0.75081,1.0236,0.00054822,0.00054822,0.00054822
118,1798.13,0.90325,0.63724,0.96475,0.80032,0.91653,0.87997,0.55955,1.11997,0.75371,1.00402,0.000546317,0.000546317,0.000546317
119,1813.4,0.94328,0.64115,0.9493,0.83102,0.85887,0.89041,0.60342,1.06053,0.76171,0.99535,0.000544414,0.000544414,0.000544414
120,1828.64,0.97321,0.64789,0.99801,0.88049,0.83742,0.92047,0.57231,1.22457,0.76699,1.05491,0.00054251,0.00054251,0.00054251
121,1843.89,0.88405,0.59346,0.95522,0.81954,0.85786,0.86802,0.62315,1.0018,0.73189,1.0107,0.000540607,0.000540607,0.000540607
122,1859.22,0.88588,0.6194,0.96599,0.84819,0.85967,0.88537,0.58703,1.11855,0.71612,1.03096,0.000538704,0.000538704,0.000538704
123,1874.51,0.91775,0.62144,0.97006,0.86016,0.81858,0.86217,0.61358,1.02098,0.73498,0.98367,0.0005368,0.0005368,0.0005368
124,1889.78,0.90713,0.62847,0.95912,0.83904,0.83785,0.86512,0.60028,1.00121,0.75482,0.99609,0.000534897,0.000534897,0.000534897
